aoi_address,centroid,wkt
杭州市余杭区莫干山路1418-38号,POINT (120.1035219 30.3410531),"POLYGON ((120.102565 30.341192, 120.103295 30.341317, 120.104293 30.341567, 120.104507 30.34103, 120.10286 30.340493, 120.102565 30.341192))"
浙江省杭州市余杭区临一街,POINT (120.1949947 30.3983011),"POLYGON ((120.189653 30.398262, 120.19089 30.398513, 120.190682 30.399307, 120.191752 30.399435, 120.191981 30.398845, 120.1944 30.398891, 120.194241 30.399785, 120.195441 30.399959, 120.194595 30.402082, 120.195929 30.402289, 120.198662 30.402888, 120.199478 30.401083, 120.2004 30.399492, 120.197332 30.397345, 120.196774 30.396938, 120.196591 30.396882, 120.196642 30.396813, 120.192037 30.393011, 120.191246 30.394435, 120.191192 30.394955, 120.189653 30.398262))"
浙江省杭州市余杭区良渚街道储运路与吴家门路交叉口西北440米南庄兜农贸市场,POINT (120.1147269 30.3867168),"POLYGON ((120.11441 30.38704,120.114925 30.387096,120.115035 30.38636,120.114638 30.386356,120.114511 30.38641,120.11441 30.38704))"
浙江省杭州市余杭区良渚街道港虹东路与储运路交叉口南180米良渚街道人民调解委员会,POINT (120.1141618 30.3805956),"POLYGON ((120.113678 30.382527, 120.114032 30.382559, 120.114268 30.381365, 120.114359 30.380759, 120.114686 30.378635, 120.114295 30.378593, 120.113705 30.381925, 120.113678 30.382527))"
浙江省杭州市余杭区良渚街道良渚街道良辰酒店良辰酒店往北,POINT (120.049103 30.3822697),"POLYGON ((120.04876 30.382383,120.049409 30.382461,120.049433 30.382197,120.049418 30.382153,120.048813 30.382075,120.04876 30.382383))"
